id,name,description,category,rarity,price_cents,bonus_data,image_url,active,created_at,duration_days,min_fans
spons_estadio_t1,EnergiaJá Estádio,Placas de publicidade no estádio. Receita diária garantida.,sponsorship,common,1,"{""sub_type"": ""estadio"", ""winBonus"": 4000, ""daily_cash"": 12000, ""titleBonus"": 40000, ""immediate_cash"": 80000, ""dinheiroSemanal"": 84000}",,t,2026-05-17 21:05:33.443741+00,30,3000
spons_estadio_t2,AutoNorte Naming,Naming rights parcial do estádio + placas premium.,sponsorship,rare,1,"{""sub_type"": ""estadio"", ""winBonus"": 12000, ""daily_cash"": 40000, ""titleBonus"": 180000, ""immediate_cash"": 300000, ""dinheiroSemanal"": 280000}",,t,2026-05-17 21:05:33.443741+00,30,10000
scouting_basic,Pacote Olheiro Regional,Encontre promessas em sua região com relatórios básicos.,scouting,common,1,"{""type"": ""scouting_bonus"", ""quality"": 1.1}",,t,2026-05-20 23:06:55.621502+00,,0
scouting_pro,Rede de Olheiros Pro,Rede nacional de olheiros para encontrar jogadores de elite.,scouting,epic,1,"{""type"": ""scouting_bonus"", ""quality"": 1.3, ""discover_promisses"": true}",,t,2026-05-20 23:06:55.621502+00,,0
uniform_launch,Lançamento de Uniforme,Taxa de lançamento premium de uniforme do clube,uniform,premium,1,{},,t,2026-05-25 00:06:28.182497+00,,0
spons_estadio_t3,MegaArena Naming,Naming rights completo do estádio + lounge VIP patrocinado.,sponsorship,epic,1,"{""sub_type"": ""estadio"", ""winBonus"": 35000, ""daily_cash"": 100000, ""titleBonus"": 700000, ""immediate_cash"": 1200000, ""dinheiroSemanal"": 700000}",,t,2026-05-17 21:05:33.443741+00,30,30000
spons_marketing_t1,BuzzMídia Marketing,Campanha de marketing local. Traz torcedores e visibilidade.,sponsorship,common,1,"{""sub_type"": ""marketing"", ""winBonus"": 2000, ""daily_cash"": 5000, ""titleBonus"": 25000, ""torcidaPorDia"": 50, ""immediate_cash"": 30000, ""immediate_fans"": 500, ""dinheiroSemanal"": 35000}",,t,2026-05-17 21:05:33.443741+00,30,1000
mkt_local,Campanha Local,Aumente a presença do clube na cidade e conquiste novos torcedores locais.,marketing,common,1,"{""fans_max"": 2000, ""fans_min"": 500, ""revenue_bonus"": 0.05, ""torcidaPorDia"": 500}",https://images.unsplash.com/photo-1540747913346-19e32dc3e97e?w=500&q=80,t,2026-05-15 00:36:52.846419+00,10,0
spons_marketing_t2,Viral360 Marketing,Agência digital. Boost contínuo de engajamento e novos fãs.,sponsorship,rare,1,"{""sub_type"": ""marketing"", ""winBonus"": 7000, ""daily_cash"": 18000, ""titleBonus"": 100000, ""torcidaPorDia"": 150, ""immediate_cash"": 120000, ""immediate_fans"": 1500, ""dinheiroSemanal"": 126000}",,t,2026-05-17 21:05:33.443741+00,30,5000
spons_marketing_t3,GlobalMídia Marketing,Grande agência. Renda forte + crescimento massivo de torcida.,sponsorship,epic,1,"{""sub_type"": ""marketing"", ""winBonus"": 20000, ""daily_cash"": 55000, ""titleBonus"": 350000, ""torcidaPorDia"": 500, ""immediate_cash"": 600000, ""immediate_fans"": 5000, ""dinheiroSemanal"": 385000}",,t,2026-05-17 21:05:33.443741+00,30,20000
spons_premium_t1,Diamante Premium,Contrato Premium exclusivo. Pagamento diário gigantesco.,sponsorship,epic,1,"{""sub_type"": ""premium"", ""winBonus"": 50000, ""daily_cash"": 100000, ""titleBonus"": 700000, ""immediate_cash"": 600000, ""dinheiroSemanal"": 700000}",,t,2026-05-17 21:05:33.443741+00,30,10000
spons_premium_t2,Imperial Premium,Patrocinador Premium internacional. Renda altíssima.,sponsorship,legendary,1,"{""sub_type"": ""premium"", ""winBonus"": 120000, ""daily_cash"": 260000, ""titleBonus"": 1800000, ""immediate_cash"": 2200000, ""dinheiroSemanal"": 1820000}",,t,2026-05-17 21:05:33.443741+00,30,35000
spons_premium_t3,Royal Crown Premium,O patrocinador Premium mais exclusivo do jogo. Apenas para clubes gigantes.,sponsorship,legendary,1,"{""sub_type"": ""premium"", ""winBonus"": 250000, ""daily_cash"": 520000, ""titleBonus"": 4000000, ""immediate_cash"": 5000000, ""dinheiroSemanal"": 3640000}",,t,2026-05-17 21:05:33.443741+00,30,75000
mkt_regional,Marketing Regional,Expanda sua influência para cidades vizinhas e aumente a popularidade regional.,marketing,rare,1,"{""fans_max"": 5000, ""fans_min"": 2000, ""revenue_bonus"": 0.10, ""torcidaPorDia"": 2000}",https://images.unsplash.com/photo-1540747913346-19e32dc3e97e?w=500&q=80,t,2026-05-15 00:36:52.846419+00,10,2000
mkt_nacional,Marketing Nacional,Leve o nome do clube para todo o país com campanhas de mídia esportiva.,marketing,epic,1,"{""fans_max"": 20000, ""fans_min"": 10000, ""revenue_bonus"": 0.20, ""torcidaPorDia"": 10000}",https://images.unsplash.com/photo-1540747913346-19e32dc3e97e?w=500&q=80,t,2026-05-15 00:36:52.846419+00,15,8000
mkt_mundial,Campanha Mundial,Transforme seu clube em uma marca global e aumente drasticamente sua torcida.,marketing,legendary,1,"{""fans_fixed"": 50000, ""revenue_bonus"": 0.35, ""torcidaPorDia"": 500}",https://images.unsplash.com/photo-1540747913346-19e32dc3e97e?w=500&q=80,t,2026-05-15 00:36:52.846419+00,20,20000
mkt_elite,FLM Media Elite,O maior pacote de mídia e marketing do Football Life Manager.,marketing,legendary,1,"{""fans_fixed"": 100000, ""revenue_bonus"": 0.60, ""torcidaPorDia"": 500}",https://images.unsplash.com/photo-1540747913346-19e32dc3e97e?w=500&q=80,t,2026-05-15 00:36:52.846419+00,30,50000
socio_prata,Plano Sócio Prata,Aumenta instantaneamente sua base de sócios e garante um crescimento constante nas vendas de mercadorias.,members,rare,1,"{""initialFans"": 1500, ""initialMembers"": 750, ""monthlyRevenue"": 15000, ""salesMultiplier"": 1.05}",,t,2026-05-16 14:47:52.022207+00,30,500
socio_ouro,Plano Sócio Ouro,Um salto gigante para o clube. Milhares de novos sócios e uma explosão de engajamento da torcida.,members,epic,1,"{""initialFans"": 5000, ""initialMembers"": 2000, ""monthlyRevenue"": 45000, ""salesMultiplier"": 1.12}",,t,2026-05-16 14:47:52.022207+00,30,1000
socio_lendario,Plano Sócio Lendário,O ápice do reconhecimento. Seu estádio estará sempre lotado e as finanças do clube atingirão novos recordes.,members,legendary,1,"{""initialFans"": 25000, ""initialMembers"": 10000, ""monthlyRevenue"": 250000, ""salesMultiplier"": 1.25}",,t,2026-05-16 14:47:52.022207+00,30,5000
scouting_elite,Olheiros Mundiais Elite,A melhor rede de olheiros do mundo à sua disposição.,scouting,legendary,1,"{""type"": ""scouting_bonus"", ""quality"": 1.6, ""full_reports"": true, ""discover_promisses"": true}",,t,2026-05-20 23:06:55.621502+00,,0
fan_boost_local,Pacote Apoio Local,Aumenta a presença da torcida e o barulho no estádio.,fans,common,1,"{""type"": ""fan_boost"", ""home_bonus"": 0.05, ""attendance_multiplier"": 1.1}",,t,2026-05-20 23:06:55.621502+00,,0
fan_boost_national,Caravana Nacional,Sua torcida presente em todos os cantos do país.,fans,rare,1,"{""type"": ""fan_boost"", ""home_bonus"": 0.1, ""away_presence"": true, ""attendance_multiplier"": 1.25}",,t,2026-05-20 23:06:55.621502+00,,0
fan_boost_fanatic,Torcida Organizada Fanática,Atmosfera hostil para os adversários e apoio incondicional.,fans,legendary,1,"{""type"": ""fan_boost"", ""home_bonus"": 0.2, ""moral_boost"": 0.1, ""attendance_multiplier"": 1.5}",,t,2026-05-20 23:06:55.621502+00,,0
infra_stadium,Reforma do Estádio,Modernize seu estádio para aumentar receitas e melhorar experiência da torcida.,infrastructure,epic,1,"{""type"": ""stadium_upgrade""}",https://images.unsplash.com/photo-1577223625816-7546f13df25d?w=500&q=80,t,2026-05-15 00:36:52.846419+00,,5000
infra_ct,Novo CT,Centro de treinamento profissional focado em evolução do elenco.,infrastructure,rare,1,"{""type"": ""ct_upgrade""}",https://images.unsplash.com/photo-1577223625816-7546f13df25d?w=500&q=80,t,2026-05-15 00:36:52.846419+00,,1000
infra_academy,Academia de Base,Desenvolva jovens talentos e aumente o potencial da base.,infrastructure,epic,1,"{""type"": ""academy_upgrade""}",https://images.unsplash.com/photo-1577223625816-7546f13df25d?w=500&q=80,t,2026-05-15 00:36:52.846419+00,,3000
infra_medical,Centro Médico,Reduza lesões e acelere recuperação dos jogadores.,infrastructure,rare,1,"{""type"": ""medical_upgrade""}",https://images.unsplash.com/photo-1577223625816-7546f13df25d?w=500&q=80,t,2026-05-15 00:36:52.846419+00,,2000
staff_physio,Preparador Físico,Melhore desempenho físico e reduza fadiga do elenco.,staff,common,1,"{""role"": ""physio_coach"", ""skill"": 9}",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=500&q=80,t,2026-05-15 00:36:52.846419+00,30,500
staff_analyst,Analista Tático,Melhore leitura de jogo e eficiência tática da equipe.,staff,epic,1,"{""role"": ""tactical_analyst"", ""skill"": 10}",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=500&q=80,t,2026-05-15 00:36:52.846419+00,30,5000
physio_ice,Câmara de Gelo,Recuperação muscular avançada para jogos intensos.,physio,common,1,"{""type"": ""ice_chamber""}",https://images.unsplash.com/photo-1576091160550-2173dba999ef?w=500&q=80,t,2026-05-15 00:36:52.846419+00,,300
